ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 Fraccionamiento Hacienda Santa Fe,580000,71,2 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+hacienda+santa+fe-tlajomulco+de+zuniga-jalisco-2041725
 Colonia Los Gavilanes Poniente,3350000,140,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2041578
 Colonia Los Gavilanes Poniente,3250000,151,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2041571
 Fraccionamiento Bugambilias,6800000,400,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+bugambilias-zapopan-jalisco-2041564
 Fraccionamiento La Rioja,4600000,253,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2041403
 Colonia Santa Cruz De La Loma,5295000,1012,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+santa+cruz+de+la+loma-tlajomulco+de+zuniga-jalisco-2041354
 Colonia El Campanario,7450000,1215,5 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+el+campanario-zapopan-jalisco-2041340
 Fraccionamiento Senderos Monte Verde,2520000,150,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+senderos+monte+verde-tlajomulco+de+zuniga-jalisco-2041312
 Colonia Los Gavilanes Poniente,3550000,130,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2040738
 Colonia Los Gavilanes Poniente,3650000,130,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2040731
 Arroyo Seco,1300000,99,3 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-arroyo+seco-tlaquepaque-jalisco-45601-2231250
 Paseo De Los Agaves,450000,54,2 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-paseo+de+los+agaves-tlajomulco+de+zuniga-jalisco-45640-2051847
 Villa California,2190000,140,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-45640-2243682
 Haciendas De San Jose,900000,75,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-haciendas+de+san+jose-tlaquepaque-jalisco-45601-2124676
 Real Del Valle,685000,68,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-45640-2243619
 Bosques Cedros,2650000,144,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+cedros-tlajomulco+de+zuniga-jalisco-2040640
 Fraccionamiento Senderos Monte Verde,2270000,140,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+senderos+monte+verde-tlajomulco+de+zuniga-jalisco-2040633
 Colonia Bosques De Santa Anita,1990000,110,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040528
 Colonia Bosques De Santa Anita,1990000,110,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040521
 Colonia Bosques De Santa Anita,1950000,108,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040514
 Colonia Bosques De Santa Anita,2530000,125,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040507
 Colonia Lomas De Santa Anita,4300000,657,4 ,5.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colonia+lomas+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040500
 Colonia Colinas De Santa Anita,2570000,288,3 ,4.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-colonia+colinas+de+santa+anita-tlajomulco+de+zuniga-jalisco-2040493
 Fraccionamiento Sendero Las Moras,1995000,153,3 ,3.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+sendero+las+moras-tlajomulco+de+zuniga-jalisco-2040486
 Fraccionamiento Casa Fuerte,2290000,144,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+casa+fuerte-tlajomulco+de+zuniga-jalisco-2040479
 Fraccionamiento Casa Fuerte,2945000,170,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+casa+fuerte-tlajomulco+de+zuniga-jalisco-2040472
 Bosques Cedros,3390000,144,3 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-bosques+cedros-tlajomulco+de+zuniga-jalisco-2040465
 Fraccionamiento Bugambilias,7450000,740,3 ,5.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+bugambilias-zapopan-jalisco-2040402
 Colonia Los Gavilanes Poniente,3980000,160,3 ,3.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2109234
 Colonia Los Gavilanes Poniente,5900000,183,3 ,3.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-colonia+los+gavilanes+poniente-tlajomulco+de+zuniga-jalisco-2109220
 La Tijera,3850000,356,3 ,2.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+tijera-tlajomulco+de+zuniga-jalisco-2141182
 Santa Anita,2960000,377,4 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita-tlaquepaque-jalisco-2137045
 Geovillas Los Olivos,650000,63,2 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-geovillas+los+olivos-tlaquepaque-jalisco-2136968
 Sendero Las Moras,3280000,205,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-sendero+las+moras-tlajomulco+de+zuniga-jalisco-2218496
 La Rioja,4400000,150,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2087470
 Geovillas Los Olivos,675000,54,2 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-geovillas+los+olivos-tlaquepaque-jalisco-2128834
 El Palomar,5500000,460,4 ,6.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar-tlajomulco+de+zuniga-jalisco-1925351
 Villas Camino Real De Colima,1270000,81,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villas+camino+real+de+colima-tlajomulco+de+zuniga-jalisco-2233364
 Balcones De La Calera,1170000,800,2 ,1.0  , 10.0  ,http://www.casasyterrenos.com/detalle-casa/venta-balcones+de+la+calera-tlajomulco+de+zuniga-jalisco-1996540
 Villa California,1680000,140,3 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-2222598
 Los Cantaros,255000,47,1 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-los+cantaros-tlajomulco+de+zuniga-jalisco-1925216
 Alta California,1680000,120,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-alta+california-tlajomulco+de+zuniga-jalisco-45645-1727819
 Santa Anita,2390000,148,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita-tlajomulco+de+zuniga-jalisco-45640-1039489
 Hacienda La Purisima,670000,105,1 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+la+purisima-tlajomulco+de+zuniga-jalisco-45640-1899348
 Villa California,2300000,140,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-45645-1980399
 El Alcázar (casa Fuerte),2680000,140,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1860538
 Banus,780000,74,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-banus-tlajomulco+de+zuniga-jalisco-2179933
 Paseos Del Prado,680000,80,3 ,3.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-paseos+del+prado-tlaquepaque-jalisco-1839663
 Villa Fontana Aqua,540000,60,3 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+fontana+aqua-tlajomulco+de+zuniga-jalisco-1839588
 La Arbolada,1275000,110,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+arbolada-tlajomulco+de+zuniga-jalisco-45654-2059834
 El Manantial,5700000,285,3 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+manantial-tlajomulco+de+zuniga-jalisco-1770753
 El Alcázar (casa Fuerte),3450000,300,4 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1973333
 El Palomar Secc Jockey Club,9500000,340,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar+secc+jockey+club-tlajomulco+de+zuniga-jalisco-2066134
 Nueva Galicia Residencial,3150000,119,4 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia+residencial-tlajomulco+de+zuniga-jalisco-1973325
 La Rioja,3650000,130,4 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-1973321
 Lomas De Santa Anita,5500000,600,4 ,4.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-lomas+de+santa+anita-tlajomulco+de+zuniga-jalisco-1831808
 Cajititlan,1850000,1080,2 ,1.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-cajititlan-tlajomulco+de+zuniga-jalisco-2172982
 El Palomar,6550000,405,4 ,5.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar-tlajomulco+de+zuniga-jalisco-2123451
 El Campanario,6580000,1215,5 ,3.0  , 30.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+campanario-zapopan-jalisco-2050223
 Senderos De Monte Verde,2400000,154,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-2100231
 Haciendas De Vista Hermosa,910000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-haciendas+de+vista+hermosa-tlaquepaque-jalisco-2218216
 Tlaquepaque Centro,9100000,560,8 ,5.0  , 8.0  ,http://www.casasyterrenos.com/detalle-casa/venta-tlaquepaque+centro-tlaquepaque-jalisco-2150401
 El Alcázar (casa Fuerte),2600000,140,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-2005038
 Santa Anita,17000000,1021,4 ,4.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita-tlajomulco+de+zuniga-jalisco-2005031
 El Alcázar (casa Fuerte),2625000,140,3 ,4.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1976537
 El Alcázar (casa Fuerte),2600000,143,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1976533
 El Alcázar (casa Fuerte),2550000,140,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1976529
