ubicación,precio,tamaño,precio por metro, link
 Jardines De San Sebastian,77000000,70000,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+san+sebastian-tlajomulco+de+zuniga-jalisco-45640-2032688
 Sin Nombre,800000,350,2285.71,http://www.casasyterrenos.com/detalle-terreno/venta-sin+nombre-tlajomulco+de+zuniga-jalisco-45640-950078
 San Jose Del Quince,850000,771,1102.46,http://www.casasyterrenos.com/detalle-terreno/venta-san+jose+del+quince-el+salto-jalisco-45696-1260839
 Jardines De La Calera,672000,1493,450.1,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+la+calera-tlajomulco+de+zuniga-jalisco-45640-2073141
 Buenavista,18000000,40120,448.65,http://www.casasyterrenos.com/detalle-terreno/venta-buenavista-tlajomulco+de+zuniga-jalisco-45640-1320154
 Santa Cruz De Las Flores,14911000,10284,1449.92,http://www.casasyterrenos.com/detalle-terreno/venta-santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-45640-1516598
 Bosque Real De Santa Anita,1699106,227,7485.05,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1976829
 Bosque Real De Santa Anita,1689519,226,7475.75,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1976849
 Bosque Real De Santa Anita,1510284,202,7476.65,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1977337
 Bosque Real De Santa Anita,1543764,206,7494.0,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1977357
 Cajititlan,605000,403,1501.24,http://www.casasyterrenos.com/detalle-terreno/venta-cajititlan-tlajomulco+de+zuniga-jalisco-45670-1683578
 Acatlan De Juarez Centro,2951300,2683,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1277549
 Los Gavilanes,5380000,538,10000.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-45640-1982380
 Hacienda Mirage,2320000,422,5497.63,http://www.casasyterrenos.com/detalle-terreno/venta-hacienda+mirage-tlajomulco+de+zuniga-jalisco-45646-1918416
 Bosque Real De Santa Anita,1699106,227,7485.05,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1976829
 Bosque Real De Santa Anita,1689519,226,7475.75,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1976849
 Bosque Real De Santa Anita,1510284,202,7476.65,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1977337
 Bosque Real De Santa Anita,1543764,206,7494.0,http://www.casasyterrenos.com/detalle-terreno/venta-bosque+real+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1977357
 Cajititlan,605000,403,1501.24,http://www.casasyterrenos.com/detalle-terreno/venta-cajititlan-tlajomulco+de+zuniga-jalisco-45670-1683578
 Acatlan De Juarez Centro,2951300,2683,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1277549
 Los Gavilanes,5380000,538,10000.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-45640-1982380
 Hacienda Mirage,2320000,422,5497.63,http://www.casasyterrenos.com/detalle-terreno/venta-hacienda+mirage-tlajomulco+de+zuniga-jalisco-45646-1918416
 San Miguel Cuyutlan,4000000,7119,561.88,http://www.casasyterrenos.com/detalle-terreno/venta-san+miguel+cuyutlan-tlajomulco+de+zuniga-jalisco-45660-1658590
 ,550000,140,3928.57,http://www.casasyterrenos.com/detalle-terreno/venta-tlajomulco+de+zuniga-jalisco-1613337
 San Sebastian El Grande,43470000,57500,756.0,http://www.casasyterrenos.com/detalle-terreno/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-45640-1930571
 Acatlan De Juarez Centro,30430000,300000,101.43,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1735449
 San Agustin,3200000,1094,2925.05,http://www.casasyterrenos.com/detalle-terreno/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1849758
 Zapote Del Valle,2167470,2167,1000.22,http://www.casasyterrenos.com/detalle-terreno/venta-zapote+del+valle-tlajomulco+de+zuniga-jalisco-45672-1740739
 San Sebastian El Grande,8600000,10750,800.0,http://www.casasyterrenos.com/detalle-terreno/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-45640-1226661
 Rancho Alegre,14693000,58773,250.0,http://www.casasyterrenos.com/detalle-terreno/venta-rancho+alegre-tlajomulco+de+zuniga-jalisco-45640-2139600
 Lomas De San Agustin,3800000,1713,2218.33,http://www.casasyterrenos.com/detalle-terreno/venta-lomas+de+san+agustin-tlajomulco+de+zuniga-jalisco-45640-950816
 La Arbolada Plus,288750,83,3478.92,http://www.casasyterrenos.com/detalle-terreno/venta-la+arbolada+plus-tlajomulco+de+zuniga-jalisco-45640-1607525
 La Arbolada Plus,425705,122,3489.39,http://www.casasyterrenos.com/detalle-terreno/venta-la+arbolada+plus-tlajomulco+de+zuniga-jalisco-45640-1607545
